#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2188860547e+02    1.4864825441e+04   -3.4381368250e+02    2.2192507703e+02   -1.1832515789e+02   -3.6960148866e+01   -1.8852837574e+02    4.2724800000e+05    4.9906278699e+01    9.9705262347e-01
         1   -1.2205797939e+02    1.4908350431e+04   -3.4434972015e+02    2.2229174076e+02   -1.1862399755e+02   -3.7197346856e+01   -1.8852837574e+02    4.2119000000e+05    4.9396234051e+01    9.9706371373e-01
         2   -1.2209206851e+02    1.4914351897e+04   -3.4451693084e+02    2.2242486232e+02   -1.1869208441e+02   -3.7296470681e+01   -1.8852837574e+02    4.2291900000e+05    4.9885915184e+01    9.9705914993e-01
         3   -1.2208120777e+02    1.4911778695e+04   -3.4450761196e+02    2.2242640419e+02   -1.1865337063e+02   -3.7325865585e+01   -1.8852837574e+02    4.1839500000e+05    4.8911515380e+01    9.9705836537e-01
         4   -1.2208148377e+02    1.4911751101e+04   -3.4422420396e+02    2.2214272019e+02   -1.1861902442e+02   -3.7076803794e+01   -1.8852837574e+02    4.1065500000e+05    4.7625055323e+01    9.9706533860e-01
         5   -1.2207137436e+02    1.4910078846e+04   -3.4434658684e+02    2.2227521248e+02   -1.1853341582e+02   -3.7284795276e+01   -1.8852837574e+02    4.0853000000e+05    4.5400286708e+01    9.9707086361e-01
         6   -1.2207799431e+02    1.4910945398e+04   -3.4452117959e+02    2.2244318528e+02   -1.1857309166e+02   -3.7419712188e+01   -1.8852837574e+02    4.1194800000e+05    4.8455596335e+01    9.9705613163e-01
         7   -1.2206799746e+02    1.4908607514e+04   -3.4432105931e+02    2.2225306185e+02   -1.1862916806e+02   -3.7163515498e+01   -1.8852837574e+02    4.0887400000e+05    4.5838754560e+01    9.9705558088e-01
         8   -1.2206370185e+02    1.4907443017e+04   -3.4428458289e+02    2.2222088104e+02   -1.1863871760e+02   -3.7117489540e+01   -1.8852837574e+02    4.0690900000e+05    4.5350071648e+01    9.9706560212e-01
         9   -1.2208702939e+02    1.4913246152e+04   -3.4432765436e+02    2.2224062496e+02   -1.1859519930e+02   -3.7204079308e+01   -1.8852837574e+02    4.1197800000e+05    4.6825831732e+01    9.9706626479e-01
        10   -1.2209519731e+02    1.4915274735e+04   -3.4438128796e+02    2.2228609064e+02   -1.1852534074e+02   -3.7327571474e+01   -1.8852837574e+02    4.1691000000e+05    4.9160286743e+01    9.9706020063e-01
        11   -1.2208072207e+02    1.4911603480e+04   -3.4439136518e+02    2.2231064311e+02   -1.1856264642e+02   -3.7300343015e+01   -1.8852837574e+02    4.1617300000e+05    4.8521244726e+01    9.9705477926e-01
        12   -1.2209883831e+02    1.4916056811e+04   -3.4451778988e+02    2.2241895158e+02   -1.1861031111e+02   -3.7379103032e+01   -1.8852837574e+02    4.1829300000e+05    4.9315233667e+01    9.9704626766e-01
        13   -1.2209377639e+02    1.4914817327e+04   -3.4440400290e+02    2.2231022651e+02   -1.1862038545e+02   -3.7255241712e+01   -1.8852837574e+02    4.2426500000e+05    4.9231521016e+01    9.9706187006e-01
        14   -1.2207554404e+02    1.4910405276e+04   -3.4430163940e+02    2.2222609536e+02   -1.1862070156e+02   -3.7152562092e+01   -1.8852837574e+02    4.2458700000e+05    4.9752256961e+01    9.9705983562e-01
        15   -1.2207900861e+02    1.4911151618e+04   -3.4419528260e+02    2.2211627399e+02   -1.1857946958e+02   -3.7087437271e+01   -1.8852837574e+02    4.1898700000e+05    4.8726015751e+01    9.9705066728e-01
        16   -1.2206101214e+02    1.4906817956e+04   -3.4427060699e+02    2.2220959485e+02   -1.1855579670e+02   -3.7186434540e+01   -1.8852837574e+02    4.1409100000e+05    4.8406135271e+01    9.9707149669e-01
        17   -1.2207506535e+02    1.4910267098e+04   -3.4426987589e+02    2.2219481054e+02   -1.1868005037e+02   -3.7061449775e+01   -1.8852837574e+02    4.0945600000e+05    4.5609560633e+01    9.9705778376e-01
        18   -1.2205614092e+02    1.4905587271e+04   -3.4401117114e+02    2.2195503023e+02   -1.1864016918e+02   -3.6842626219e+01   -1.8852837574e+02    4.0869000000e+05    4.6645495470e+01    9.9706082006e-01
        19   -1.2208994195e+02    1.4913861305e+04   -3.4425559710e+02    2.2216565515e+02   -1.1857100664e+02   -3.7156214716e+01   -1.8852837574e+02    4.0453100000e+05    4.4533049922e+01    9.9705013954e-01
        20   -1.2208970324e+02    1.4913871459e+04   -3.4427720436e+02    2.2218750113e+02   -1.1858031388e+02   -3.7168514737e+01   -1.8852837574e+02    4.0508200000e+05    4.5060482923e+01    9.9705644213e-01
        21   -1.2207386695e+02    1.4909856575e+04   -3.4427148896e+02    2.2219762201e+02   -1.1858551078e+02   -3.7157602429e+01   -1.8852837574e+02    4.0863200000e+05    4.6223417236e+01    9.9705735797e-01
        22   -1.2209083744e+02    1.4914058744e+04   -3.4419118727e+02    2.2210034983e+02   -1.1862691925e+02   -3.7035892277e+01   -1.8852837574e+02    4.0988300000e+05    4.7174621105e+01    9.9706173209e-01
        23   -1.2209065527e+02    1.4914132005e+04   -3.4426672169e+02    2.2217606642e+02   -1.1857746728e+02   -3.7160878667e+01   -1.8852837574e+02    4.0977200000e+05    4.6317791024e+01    9.9706317950e-01
        24   -1.2209162592e+02    1.4914314683e+04   -3.4430048604e+02    2.2220886011e+02   -1.1851398733e+02   -3.7258122964e+01   -1.8852837574e+02    4.1215400000e+05    4.8040562198e+01    9.9706034752e-01
        25   -1.2208219408e+02    1.4912042708e+04   -3.4416990141e+02    2.2208770733e+02   -1.1855892836e+02   -3.7082597303e+01   -1.8852837574e+02    4.1109700000e+05    4.6762022818e+01    9.9705655279e-01
        26   -1.2209135996e+02    1.4914195799e+04   -3.4442178327e+02    2.2233042332e+02   -1.1864843648e+02   -3.7244971047e+01   -1.8852837574e+02    4.0683500000e+05    4.5534138699e+01    9.9705881889e-01
        27   -1.2210510588e+02    1.4917586124e+04   -3.4450743642e+02    2.2240233054e+02   -1.1871897894e+02   -3.7260081742e+01   -1.8852837574e+02    4.1499000000e+05    4.8427555279e+01    9.9706920166e-01
        28   -1.2207728444e+02    1.4910834520e+04   -3.4432005909e+02    2.2224277465e+02   -1.1865140000e+02   -3.7140283344e+01   -1.8852837574e+02    4.1662200000e+05    4.9025254017e+01    9.9705971671e-01
        29   -1.2209774100e+02    1.4915845278e+04   -3.4427767828e+02    2.2217993728e+02   -1.1855097953e+02   -3.7198322999e+01   -1.8852837574e+02    4.2371500000e+05    4.9309442052e+01    9.9706824659e-01
        30   -1.2207194720e+02    1.4909460042e+04   -3.4425903996e+02    2.2218709276e+02   -1.1866914023e+02   -3.7061523988e+01   -1.8852837574e+02    4.2167900000e+05    4.9552932364e+01    9.9706813280e-01
        31   -1.2206650724e+02    1.4908068188e+04   -3.4426523087e+02    2.2219872363e+02   -1.1863098848e+02   -3.7105866647e+01   -1.8852837574e+02    4.0993600000e+05    4.6191238119e+01    9.9706708510e-01
        32   -1.2208667106e+02    1.4913204485e+04   -3.4429456457e+02    2.2220789352e+02   -1.1859724226e+02   -3.7168946563e+01   -1.8852837574e+02    4.0911800000e+05    4.6533742969e+01    9.9706311161e-01
        33   -1.2209047175e+02    1.4914130791e+04   -3.4426719854e+02    2.2217672679e+02   -1.1854964916e+02   -3.7189173636e+01   -1.8852837574e+02    4.1132500000e+05    4.7033260528e+01    9.9704575287e-01
        34   -1.2207657698e+02    1.4910645193e+04   -3.4416499734e+02    2.2208842036e+02   -1.1853854765e+02   -3.7098073945e+01   -1.8852837574e+02    4.1539100000e+05    4.8728905055e+01    9.9704920482e-01
        35   -1.2205514139e+02    1.4905321061e+04   -3.4429122555e+02    2.2223608416e+02   -1.1845330506e+02   -3.7309544744e+01   -1.8852837574e+02    4.0930700000e+05    4.6142705920e+01    9.9705710147e-01
        36   -1.2206298852e+02    1.4907319812e+04   -3.4428748616e+02    2.2222449764e+02   -1.1853137888e+02   -3.7227731541e+01   -1.8852837574e+02    4.1047700000e+05    4.6880164928e+01    9.9705932449e-01
        37   -1.2208867554e+02    1.4913591930e+04   -3.4443659002e+02    2.2234791448e+02   -1.1861820929e+02   -3.7290004984e+01   -1.8852837574e+02    4.1375000000e+05    4.8072530180e+01    9.9705629614e-01
        38   -1.2207070857e+02    1.4909294966e+04   -3.4426304583e+02    2.2219233726e+02   -1.1861257470e+02   -3.7122095389e+01   -1.8852837574e+02    4.0862200000e+05    4.6019383191e+01    9.9704941658e-01
        39   -1.2206641153e+02    1.4908114310e+04   -3.4439902085e+02    2.2233260932e+02   -1.1858611965e+02   -3.7284525454e+01   -1.8852837574e+02    4.0744800000e+05    4.5009400567e+01    9.9705311098e-01
        40   -1.2209337653e+02    1.4914700013e+04   -3.4460506682e+02    2.2251169029e+02   -1.1868590557e+02   -3.7390785503e+01   -1.8852837574e+02    4.0765400000e+05    4.5333571700e+01    9.9704850619e-01
        41   -1.2208704405e+02    1.4913171088e+04   -3.4432733507e+02    2.2224029102e+02   -1.1862800755e+02   -3.7170951783e+01   -1.8852837574e+02    4.0659300000e+05    4.4799698868e+01    9.9706587247e-01
        42   -1.2209087812e+02    1.4914145442e+04   -3.4422859959e+02    2.2213772147e+02   -1.1852691370e+02   -3.7173310147e+01   -1.8852837574e+02    4.0775100000e+05    4.5723997908e+01    9.9706083189e-01
        43   -1.2208203756e+02    1.4912025415e+04   -3.4448572568e+02    2.2240368812e+02   -1.1853980288e+02   -3.7417547054e+01   -1.8852837574e+02    4.0842700000e+05    4.5283813850e+01    9.9704868328e-01
        44   -1.2209443255e+02    1.4915032812e+04   -3.4436035076e+02    2.2226591821e+02   -1.1855855279e+02   -3.7273422217e+01   -1.8852837574e+02    4.1085000000e+05    4.7046526991e+01    9.9706818003e-01
        45   -1.2208832827e+02    1.4913481146e+04   -3.4424904269e+02    2.2216071441e+02   -1.1856157458e+02   -3.7159092356e+01   -1.8852837574e+02    4.1453800000e+05    4.8217587413e+01    9.9705313115e-01
        46   -1.2206382414e+02    1.4907442006e+04   -3.4431599106e+02    2.2225216692e+02   -1.1858619127e+02   -3.7201424046e+01   -1.8852837574e+02    4.1686200000e+05    4.9101796950e+01    9.9706915053e-01
        47   -1.2207675726e+02    1.4910751484e+04   -3.4431130860e+02    2.2223455134e+02   -1.1869047044e+02   -3.7092462412e+01   -1.8852837574e+02    4.1077200000e+05    4.6757573317e+01    9.9706561594e-01
        48   -1.2209325263e+02    1.4914727466e+04   -3.4440674127e+02    2.2231348864e+02   -1.1866771779e+02   -3.7210647731e+01   -1.8852837574e+02    4.1070400000e+05    4.7472408544e+01    9.9706111053e-01
        49   -1.2207254060e+02    1.4909663728e+04   -3.4424775172e+02    2.2217521112e+02   -1.1858550727e+02   -3.7133868701e+01   -1.8852837574e+02    4.0924200000e+05    4.6077283249e+01    9.9707265687e-01
        50   -1.2207709540e+02    1.4910753091e+04   -3.4443127191e+02    2.2235417651e+02   -1.1860370013e+02   -3.7299196041e+01   -1.8852837574e+02    4.0524600000e+05    4.5105955293e+01    9.9705583975e-01
        51   -1.2208225788e+02    1.4912120078e+04   -3.4437665243e+02    2.2229439455e+02   -1.1860226898e+02   -3.7246007705e+01   -1.8852837574e+02    4.0788700000e+05    4.5029460960e+01    9.9706654682e-01
        52   -1.2207728999e+02    1.4910777097e+04   -3.4426063150e+02    2.2218334152e+02   -1.1858620016e+02   -3.7146055602e+01   -1.8852837574e+02    4.1192600000e+05    4.7935349697e+01    9.9705333505e-01
        53   -1.2207562965e+02    1.4910398552e+04   -3.4415215831e+02    2.2207652866e+02   -1.1861686330e+02   -3.7006919273e+01   -1.8852837574e+02    4.1224200000e+05    4.7893440249e+01    9.9705890333e-01
        54   -1.2205819954e+02    1.4906086041e+04   -3.4433960788e+02    2.2228140834e+02   -1.1865853149e+02   -3.7152700636e+01   -1.8852837574e+02    4.0936700000e+05    4.6411789775e+01    9.9705398627e-01
        55   -1.2206233635e+02    1.4907083333e+04   -3.4427485921e+02    2.2221252286e+02   -1.1864983662e+02   -3.7096646844e+01   -1.8852837574e+02    4.0906700000e+05    4.5537427355e+01    9.9706955106e-01
        56   -1.2207512866e+02    1.4910281464e+04   -3.4435134275e+02    2.2227621408e+02   -1.1866865011e+02   -3.7154316888e+01   -1.8852837574e+02    4.0657700000e+05    4.5301521070e+01    9.9706392691e-01
        57   -1.2210874619e+02    1.4918475976e+04   -3.4435794867e+02    2.2224920248e+02   -1.1862001803e+02   -3.7209554896e+01   -1.8852837574e+02    4.0474000000e+05    4.4667329265e+01    9.9705832451e-01
        58   -1.2207844742e+02    1.4911084073e+04   -3.4423474328e+02    2.2215629586e+02   -1.1860099534e+02   -3.7105372190e+01   -1.8852837574e+02    4.0595000000e+05    4.5306259317e+01    9.9706848745e-01
        59   -1.2207966150e+02    1.4911361075e+04   -3.4422404506e+02    2.2214438356e+02   -1.1862016402e+02   -3.7075505298e+01   -1.8852837574e+02    4.0678900000e+05    4.4761089571e+01    9.9707374177e-01
        60   -1.2207428617e+02    1.4910075304e+04   -3.4449244574e+02    2.2241815957e+02   -1.1867984535e+02   -3.7284224642e+01   -1.8852837574e+02    4.0992300000e+05    4.7005669321e+01    9.9705489432e-01
        61   -1.2206434283e+02    1.4907726843e+04   -3.4431865790e+02    2.2225431507e+02   -1.1860419116e+02   -3.7186090990e+01   -1.8852837574e+02    4.0760900000e+05    4.5626361351e+01    9.9706347723e-01
        62   -1.2208371917e+02    1.4912380762e+04   -3.4427781447e+02    2.2219409530e+02   -1.1860160597e+02   -3.7147832756e+01   -1.8852837574e+02    4.0697100000e+05    4.5306239695e+01    9.9706165708e-01
        63   -1.2210020139e+02    1.4916311884e+04   -3.4429065687e+02    2.2219045548e+02   -1.1856655621e+02   -3.7195724912e+01   -1.8852837574e+02    4.1299500000e+05    4.7585657231e+01    9.9705703574e-01
        64   -1.2207084369e+02    1.4909139076e+04   -3.4437648348e+02    2.2230563980e+02   -1.1862975970e+02   -3.7218348043e+01   -1.8852837574e+02    4.1188500000e+05    4.7907404986e+01    9.9706685419e-01
        65   -1.2206995056e+02    1.4909069381e+04   -3.4436752292e+02    2.2229757236e+02   -1.1866122080e+02   -3.7177926376e+01   -1.8852837574e+02    4.1216300000e+05    4.7970592499e+01    9.9706737864e-01
        66   -1.2209736961e+02    1.4915699962e+04   -3.4431149646e+02    2.2221412685e+02   -1.1863633476e+02   -3.7146785955e+01   -1.8852837574e+02    4.1083200000e+05    4.7544954214e+01    9.9705460944e-01
        67   -1.2206626577e+02    1.4908113592e+04   -3.4419035980e+02    2.2212409403e+02   -1.1854692454e+02   -3.7115059519e+01   -1.8852837574e+02    4.0848100000e+05    4.5416284586e+01    9.9705659389e-01
        68   -1.2208717418e+02    1.4913217574e+04   -3.4432789851e+02    2.2224072433e+02   -1.1848806640e+02   -3.7311456369e+01   -1.8852837574e+02    4.0619100000e+05    4.5175586577e+01    9.9705971244e-01
        69   -1.2208351915e+02    1.4912364566e+04   -3.4431748655e+02    2.2223396741e+02   -1.1859122102e+02   -3.7197889791e+01   -1.8852837574e+02    4.1061900000e+05    4.6735221199e+01    9.9705788678e-01
        70   -1.2208870605e+02    1.4913597932e+04   -3.4428023954e+02    2.2219153349e+02   -1.1857202408e+02   -3.7179839716e+01   -1.8852837574e+02    4.1066200000e+05    4.7014759518e+01    9.9706200811e-01
        71   -1.2209110534e+02    1.4914140825e+04   -3.4421754489e+02    2.2212643955e+02   -1.1848914215e+02   -3.7200026993e+01   -1.8852837574e+02    4.0692400000e+05    4.4797201547e+01    9.9706104291e-01
        72   -1.2207206842e+02    1.4909573780e+04   -3.4416082048e+02    2.2208875207e+02   -1.1852175840e+02   -3.7110686344e+01   -1.8852837574e+02    4.0670500000e+05    4.5302149929e+01    9.9706362660e-01
        73   -1.2206331684e+02    1.4907404584e+04   -3.4421589188e+02    2.2215257504e+02   -1.1863666820e+02   -3.7050847934e+01   -1.8852837574e+02    4.0145100000e+05    4.4511187895e+01    9.9707005191e-01
        74   -1.2208035525e+02    1.4911621496e+04   -3.4416607264e+02    2.2208571739e+02   -1.1858497488e+02   -3.7052722018e+01   -1.8852837574e+02    4.0018000000e+05    4.4894608624e+01    9.9705454420e-01
        75   -1.2206597690e+02    1.4908043200e+04   -3.4437874602e+02    2.2231276912e+02   -1.1864270178e+02   -3.7207668492e+01   -1.8852837574e+02    4.0273800000e+05    4.4592486788e+01    9.9706197642e-01
        76   -1.2208200268e+02    1.4911871060e+04   -3.4427093648e+02    2.2218893380e+02   -1.1868586380e+02   -3.7056696928e+01   -1.8852837574e+02    3.9994600000e+05    4.4968035076e+01    9.9706670561e-01
        77   -1.2205474794e+02    1.4905316482e+04   -3.4426589822e+02    2.2221115029e+02   -1.1864960721e+02   -3.7087915267e+01   -1.8852837574e+02    3.9693200000e+05    4.4474165981e+01    9.9706519559e-01
        78   -1.2206640559e+02    1.4908150039e+04   -3.4446390025e+02    2.2239749466e+02   -1.1862567663e+02   -3.7309847879e+01   -1.8852837574e+02    3.9722900000e+05    4.4854384467e+01    9.9705363340e-01
        79   -1.2206662922e+02    1.4908163080e+04   -3.4436458861e+02    2.2229795939e+02   -1.1859460007e+02   -3.7241612803e+01   -1.8852837574e+02    3.9936600000e+05    4.4467338005e+01    9.9705565475e-01
        80   -1.2207399519e+02    1.4910005217e+04   -3.4429674748e+02    2.2222275229e+02   -1.1854135035e+02   -3.7227021380e+01   -1.8852837574e+02    4.0202400000e+05    4.5184873884e+01    9.9704796984e-01
        81   -1.2207865484e+02    1.4911174113e+04   -3.4437711326e+02    2.2229845842e+02   -1.1857666724e+02   -3.7272070273e+01   -1.8852837574e+02    4.0149600000e+05    4.4644222697e+01    9.9704798878e-01
        82   -1.2211057725e+02    1.4918986876e+04   -3.4437469750e+02    2.2226412025e+02   -1.1858155840e+02   -3.7264763358e+01   -1.8852837574e+02    4.0963100000e+05    4.7099935289e+01    9.9704927722e-01
        83   -1.2208042230e+02    1.4911535536e+04   -3.4452987109e+02    2.2244944879e+02   -1.1865971014e+02   -3.7341785208e+01   -1.8852837574e+02    4.1909200000e+05    4.8888715393e+01    9.9707218571e-01
        84   -1.2206811464e+02    1.4908637040e+04   -3.4424309482e+02    2.2217498018e+02   -1.1860433303e+02   -3.7110386040e+01   -1.8852837574e+02    4.1801300000e+05    4.9307974507e+01    9.9705808808e-01
        85   -1.2208505808e+02    1.4912703459e+04   -3.4418393502e+02    2.2209887694e+02   -1.1856953671e+02   -3.7086022563e+01   -1.8852837574e+02    4.1915800000e+05    4.8921369793e+01    9.9706419121e-01
        86   -1.2208205208e+02    1.4912019170e+04   -3.4413102058e+02    2.2204896849e+02   -1.1860614198e+02   -3.6996502853e+01   -1.8852837574e+02    4.1434700000e+05    4.8710803542e+01    9.9705337260e-01
        87   -1.2205614940e+02    1.4905554172e+04   -3.4430316903e+02    2.2224701962e+02   -1.1862745625e+02   -3.7147337031e+01   -1.8852837574e+02    4.0746900000e+05    4.5190701648e+01    9.9706616890e-01
        88   -1.2207499158e+02    1.4910208097e+04   -3.4415224143e+02    2.2207724985e+02   -1.1863134036e+02   -3.6992525317e+01   -1.8852837574e+02    4.0171100000e+05    4.4861282861e+01    9.9705926300e-01
        89   -1.2207943681e+02    1.4911385224e+04   -3.4420111153e+02    2.2212167473e+02   -1.1861477035e+02   -3.7057965442e+01   -1.8852837574e+02    3.9912000000e+05    4.4471400753e+01    9.9706073502e-01
        90   -1.2207657980e+02    1.4910685258e+04   -3.4416911397e+02    2.2209253417e+02   -1.1862031892e+02   -3.7020419301e+01   -1.8852837574e+02    3.9905100000e+05    4.4895475417e+01    9.9706761406e-01
        91   -1.2208046562e+02    1.4911657818e+04   -3.4419373474e+02    2.2211326912e+02   -1.1852909847e+02   -3.7136260524e+01   -1.8852837574e+02    4.0433700000e+05    4.4684883918e+01    9.9705318708e-01
        92   -1.2208408331e+02    1.4912400611e+04   -3.4415174542e+02    2.2206766211e+02   -1.1855655394e+02   -3.7066815734e+01   -1.8852837574e+02    4.0832800000e+05    4.6378340520e+01    9.9706465037e-01
        93   -1.2206635313e+02    1.4908113156e+04   -3.4436966859e+02    2.2230331547e+02   -1.1860262212e+02   -3.7238670730e+01   -1.8852837574e+02    4.0903700000e+05    4.6035072617e+01    9.9706788238e-01
        94   -1.2207381417e+02    1.4909952590e+04   -3.4417044710e+02    2.2209663293e+02   -1.1847747520e+02   -3.7164596161e+01   -1.8852837574e+02    4.1104900000e+05    4.7466594425e+01    9.9705372213e-01
        95   -1.2204777762e+02    1.4903695698e+04   -3.4428439899e+02    2.2223662137e+02   -1.1846684467e+02   -3.7289178571e+01   -1.8852837574e+02    4.0668900000e+05    4.4696432382e+01    9.9706323358e-01
        96   -1.2206150562e+02    1.4906999139e+04   -3.4420445382e+02    2.2214294820e+02   -1.1856306931e+02   -3.7113008766e+01   -1.8852837574e+02    4.0515500000e+05    4.5093126020e+01    9.9706291957e-01
        97   -1.2206315031e+02    1.4907326523e+04   -3.4421308218e+02    2.2214993187e+02   -1.1860445224e+02   -3.7080254187e+01   -1.8852837574e+02    4.0282700000e+05    4.4623144237e+01    9.9706476926e-01
        98   -1.2206249912e+02    1.4907093020e+04   -3.4429337264e+02    2.2223087353e+02   -1.1863493632e+02   -3.7130060582e+01   -1.8852837574e+02    3.9958000000e+05    4.4940858690e+01    9.9706409186e-01
        99   -1.2206207475e+02    1.4907010706e+04   -3.4414675647e+02    2.2208468172e+02   -1.1864689728e+02   -3.6971483446e+01   -1.8852837574e+02    3.9942700000e+05    4.4558047683e+01    9.9706464532e-01
